,Brand,ARAI Mileage,Fuel Type,Engine Displacement (cc),No. of cylinder,Max Power (bhp@rpm),Max Torque (nm@rpm),Seating Capacity,TransmissionType,Boot Space (Litres),Fuel Tank Capacity,Body Type,Power Steering,Power Windows Front,Anti Lock Braking System,Air Conditioner,Driver Airbag,Passenger Airbag,Automatic Climate Control,Fog Lights - Front,Alloy Wheels,Price,Multi-function Steering Wheel,Service Cost (Avg. of 5 years),Ground Clearance Unladen,Engine Start Stop Button,Wheel Covers,Secondary Fuel Type,City Mileage,Charging time,Battery Capacity,Range,WLTP Mileage
32,Tata Tigor,26.49 km/kg,CNG,1199,3,72.40bhp@6000rpm,95Nm@3500rpm,5,Manual,205,60.0,Sedan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Rs.6.30 - 8.90 Lakh*Get On Road Price,,,,,Yes,,,,,,
33,Tata Tigor EV,,,,,73.75bhp,170Nm,5,,316,,Sedan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Rs.12.49 - 13.75 Lakh*Get On Road Price,,,172,,Yes,,,7.5h,26 kWh,315,
34,Tata Nexon EV Max,,,,,141.04bhp,250Nm,5,,350,,SUV,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Rs.16.49 - 19.54 Lakh*Get On Road Price,Yes,,190,Yes,,,,6.5 Hours,40.5 kWh,453 Km,
35,Tata Tiago NRG,26.49 km/kg,CNG,1199,3,72.41bhp@6000rpm,95Nm@3500rpm,5,Manual,,60.0,Hatchback,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Rs.6.70 - 8.05 Lakh*Get On Road Price,Yes,,177,,Yes,,,,,,
36,Tata Yodha Pickup,,Diesel,2956,4,85bhp@3000rpm,250Nm@1000-2000rpm,"2, 4",Manual,,45.0,Pickup Truck,Yes,,,,,,,,,Rs.6.95 - 7.50 Lakh*Get On Road Price,,,190mm,,Yes,,12.0 kmpl,,,,
37,Tata Nexon EV Prime,,,,,127bhp,245Nm,5,,350,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.14.49 - 17.19 Lakh*Get On Road Price,,,205,,,,,9.16 Hours,30.2kWh,312km,
38,Honda City,18.4 kmpl,Petrol,1498,4,119.35bhp@6600rpm,145Nm@4300rpm,5,Automatic,506,40.0,Sedan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.11.57 - 16.05 Lakh*Get On Road Price,,"Rs.5,625",,,,,,,,,
39,Honda Amaze,18.3 kmpl,Petrol,1199,4,88.50bhp@6000rpm,110Nm@4800rpm,5,Automatic,420,35.0,Sedan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.7.05 - 9.66 Lakh*Get On Road Price,,"Rs.5,468",,,,,,,,,
40,Honda City Hybrid,27.13 kmpl,Petrol,1498,4,96.55bhp@5600-6400rpm,127Nm@4500-5000rpm,5,Automatic,,40.0,Sedan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.18.89 - 20.39 Lakh*Get On Road Price,,,,,,,,,,,
41,Mahindra Thar,,Diesel,2184,4,130bhp@3750rpm,300Nm@1600-2800rpm,4,Automatic,,57.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.10.54 - 16.78 Lakh*Get On Road Price,Yes,,226mm,,,,9.0 kmpl,,,,
42,Mahindra XUV700,,Diesel,2198,4,182.38bhp@3500rpm,450Nm@1750-2800rpm,"5, 7",Automatic,,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.14.01 - 26.18 Lakh*Get On Road Price,Yes,,,,,,17.19 kmpl,,,,
43,Mahindra Bolero,16.0 kmpl,Diesel,1493,3,74.96bhp@3600rpm,210Nm@1600-2200rpm,7,Manual,,60.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,Rs.9.78 - 10.79 Lakh*Get On Road Price,,,,,Yes,,15.64 kmpl,,,,
44,Mahindra Scorpio N,,Diesel,2198,4,172.45bhp@3500rpm,400Nm@1750-2750rpm,"6, 7",Automatic,,,SUV,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Rs.13.05 - 24.51 Lakh*Get On Road Price,Yes,,187,Yes,,,,,,,
45,Mahindra XUV300,,Diesel,1497,4,115.05bhp@3750rpm,300Nm@1500-2500rpm,5,Automatic,,42.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.7.99 - 14.60 Lakh*Get On Road Price,Yes,,,,,,,,,,
46,Mahindra Scorpio Classic,,Diesel,2184,4,130.07bhp@3750rpm,300Nm@1600-2800rpm,7,Manual,,60.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.13 - 16.81 Lakh*Get On Road Price,,,,,,,,,,,
47,Mahindra Bolero Neo,17.29 kmpl,Diesel,1493,3,100bhp@3750rpm,260Nm@1750-2250rpm,7,Manual,384,50.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.9.63 - 12.14 Lakh*Get On Road Price,Yes,,180mm,,,,12.08 kmpl,,,,
48,Mahindra Marazzo,17.3 kmpl,Diesel,1497,4,120.96bhp@3500rpm,300Nm@1750-2500rpm,"7, 8",Manual,190,45.0,MUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.14.10 - 16.46 Lakh*Get On Road Price,,"Rs.8,083",,,,,,,,,
49,Mahindra Bolero Camper,,Diesel,2523,4,75.09bhp@3200rpm,200Nm@1400-2200rpm,5,Manual,,57.0,Pickup Truck,Yes,Yes,,Yes,,,,,,Rs.9.27 - 9.76 Lakh*Get On Road Price,,,185,,,,,,,,
50,Mahindra KUV 100 NXT,18.15 kmpl,Petrol,1198,3,82bhp@5500rpm,115Nm@3500-3600rpm,6,Manual,243,35.0,Hatchback,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.6.18 - 7.84 Lakh*Get On Road Price,,,170,,,,,,,,
51,Mahindra XUV400 EV,,,,,147.51Bhpbhp,310Nm,5,,,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Rs.15.99 - 19.39 Lakh*Get On Road Price,Yes,,,Yes,,,,50min,39.4 kWh,456 kms,
52,Mahindra Bolero Maxitruck Plus,17.2 km/kg,CNG,2523,4,67.05bhp@3200rpm,178Nm@1400-2000rpm,2,Manual,,146.0,Pickup Truck,Yes,,,,,,,,,Rs.7.49 - 7.89 Lakh*Get On Road Price,,,,,,,,,,,
53,Mahindra E Verito,,,,,41.57bhp@3500rpm,91Nm@3000rpm,5,,510,,Sedan,Yes,Yes,Yes,Yes,Yes,No,No,,Yes,Rs.9.13 - 9.46 Lakh*Get On Road Price,,,172mm,,No,,,,288ah Lithium Ion,110Km,
54,Mahindra Bolero PikUp ExtraLong,,Diesel,2523,4,75.09bhp@3200rpm,200Nm@1400-2200rpm,2,Manual,,60.0,Pickup Truck,Yes,,,,,,,,,Rs.8.85 - 9.12 Lakh*Get On Road Price,,,,,,,,,,,
55,Toyota Innova Crysta,,Diesel,2393,4,147.51bhp@3400rpm,343Nm@1400-2800rpm,"7, 8",Manual,300,55.0,MUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.19.99 - 26.05 Lakh*Get On Road Price,,,,,,,,,,,
56,Toyota Land Cruiser 300,,Diesel,3346,6,304.41bhp@4000rpm,700Nm@1600-2600rpm,5,Automatic,,110.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Rs.2.10 Cr*Get On Road Price,Yes,,,Yes,,,,,,,
57,Toyota Urban Cruiser Hyryder,27.97 kmpl,Petrol,1490,3,91.18bhp@5500rpm,122Nm@4400-4800rpm,5,Automatic,,45.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Rs.10.86 - 19.99 Lakh*Get On Road Price,Yes,,,,,,,,,,
58,Toyota Hilux,,Diesel,2755,4,201.15bhp@3000-3400rpm,500Nm@1600-2800rpm,5,Automatic,,80.0,Pickup Truck,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.30.40 - 37.90 Lakh*Get On Road Price,Yes,,,,,,,,,,
59,Toyota Fortuner Legender,,Diesel,2755,4,201.15bhp@3000-3400rpm,500Nm@1600-2800rpm,7,Automatic,,80.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.43.22 - 46.94 Lakh*Get On Road Price,Yes,,,,,,8.0 kmpl,,,,
60,Toyota Camry,,Petrol,2487,4,175.67bhp@5700rpm,221Nm@3600to5200rpm,5,Automatic,,50.0,Sedan,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.46.17 Lakh*Get On Road Price,Yes,,,,,,,,,,
61,Toyota Glanza,22.94 kmpl,Petrol,1197,4,88.50bhp@6000rpm,113Nm@4400rpm,5,Automatic,318,37.0,Hatchback,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.6.81 - 10 Lakh*Get On Road Price,,"Rs.3,393",,,,,16.94 kmpl,,,,
62,Toyota Innova Hycross,23.24 kmpl,Petrol,1987,4,183.72bhp@6600rpm,188Nm@4398-5196rpm,"7, 8",Automatic,,52.0,MUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.18.82 - 30.26 Lakh*Get On Road Price,Yes,,,,,,,,,,
63,Ford Aspire,18.16 kmpl,Petrol,1196,4,86.8bhp@6300rpm,112Nm@4000rpm,5,Manual,359 re,42.0,Sedan,Yes,Yes,,Yes,Yes,Yes,No,No,No,Rs.5.21 - 9.10 Lakh*,,,174mm,,Yes,,,,,,
64,Ford Endeavour,13.9 kmpl,Diesel,1996,4,167.62bhp@3500rpm,420Nm@2000-2500rpm,7,Automatic,,80.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.29.99 - 36.27 Lakh*,Yes,,,,,,,,,,
65,Ford Freestyle,19.0 kmpl,Petrol,1194,3,94.68bhp@6500rpm,120Nm@4250rpm,5,Manual,257,42.0,Hatchback,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,Rs.5.91 - 9.03 Lakh*,,,,,Yes,,,,,,
66,Volkswagen Virtus,18.67 kmpl,Petrol,1498,4,147.51bhp@5000-6000rpm,250Nm@1600-3500rpm,5,Automatic,521,45.0,Sedan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.11.48 - 18.77 Lakh*Get On Road Price,,"Rs.5,879",179mm,,,,,,,,
67,Volkswagen Taigun,17.88 kmpl,Petrol,1498,4,147.51bhp@5000-6000rpm,250Nm@1600-3500rpm,5,Automatic,385,50.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.11.62 - 19.46 Lakh*Get On Road Price,,"Rs.7,124",188,,,,,,,,
68,Volkswagen Tiguan,12.65 kmpl,Petrol,1984,4,187.74bhp@4200-6000rpm,320Nm@1500-4100rpm,5,Automatic,615s,60.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Rs.35.17 Lakh*Get On Road Price,Yes,,,Yes,,,,,,,
69,Renault Triber,18.2 kmpl,Petrol,999,3,71.01bhp@6250rpm,96Nm@3500rpm,7,Automatic,84,40.0,MUV,Yes,Yes,Yes,Yes,Yes,Yes,,,,Rs.6.33 - 8.97 Lakh*Get On Road Price,Yes,"Rs.2,034",182,Yes,Yes,,15.0 kmpl,,,,
70,Renault Kiger,18.24 kmpl,Petrol,999,3,98.63bhp@5000rpm,152Nm@2200-4400rpm,5,Automatic,405,40.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Rs.6.50 - 11.23 Lakh*Get On Road Price,Yes,,205,,,,14.0 kmpl,,,,
71,Nissan Magnite,20.0 kmpl,Petrol,999,3,98.63bhp@5000rpm,152Nm@2200-4400rpm,5,Automatic,336,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.6 - 11.02 Lakh*Get On Road Price,,"Rs.3,328",205,,,,,,,,
72,Skoda Kushaq,18.6 kmpl,Petrol,1498,4,147.51bhp@5000-6000rpm,250Nm@1600-3500rpm,5,Automatic,385/1405,50.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Rs.11.59 - 19.69 Lakh*Get On Road Price,,"Rs.6,755",188mm,,,,,,,,
73,Skoda Kodiaq,12.78 kmpl,Petrol,1984,4,187.74bhp@4200-6000rpm,320Nm@1500-4100rpm,7,Automatic,270,60.0,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.38.50 - 41.95 Lakh*Get On Road Price,Yes,"Rs.13,101",192mm,,,,,,,,
74,Fiat Avventura Urban Cross,20.5 kmpl,Diesel,1248,4,91.72bhp@4000rpm,209Nm@2000rpm,5,Manual,280,45.0,Hatchback,Yes,Yes,No,Yes,No,No,No,,Yes,Rs.6.78 - 9.78 Lakh*,,,205mm,,No,,,,,,
75,BMW X7,14.31 kmpl,Diesel,2993,6,335.25bhp@4400rpm,700Nm@1750-2250rpm,6,Automatic,,,SUV,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Rs.1.22 - 1.25 Cr*Get On Road Price,Yes,,,Yes,,,,,,,
76,BMW X1,20.37 kmpl,Diesel,1995,4,147.51bhp@3750-4000rpm,360Nm@1500–2500rpm,5,Automatic,,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.45.90 - 50.90 Lakh*Get On Road Price,Yes,,,,,,,,,,
77,BMW X5,12.0 kmpl,Diesel,2993,6,281.68bhp@4000rpm,650Nm@1500-2500rpm,5,Automatic,,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.93.90 Lakh - 1.07 Cr*Get On Road Price,Yes,,,,,,,,,,
78,BMW XM,,Petrol,4395,8,643.69bhp@5400-7200rpm,800Nm@1600-5000rpm,7,Automatic,,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Rs.2.60 Cr*Get On Road Price,Yes,,,Yes,,,,,,,61.9 kmpl
79,BMW i7,,,,,536.40bhp,745Nm,5,,,,Sedan,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.1.95 Cr*Get On Road Price,Yes,,,,,,,,101.7kWh,590-625,
80,BMW Z4,,Petrol,2998,6,335bhp@5000-6500rpm,500Nm@1600-4500rpm,2,Automatic,281,52.0,Convertible,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Rs.89.30 Lakh*Get On Road Price,Yes,,,Yes,,,,,,,
81,BMW X3,,Petrol,2998,6,355.37Bhp@5200-6500rpm,500Nm@1900-5000rpm,5,Automatic,,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.67.50 - 86.50 Lakh*Get On Road Price,Yes,,,,,,,,,,
82,BMW iX,,,,,321.84bhp,630Nm,5,,,,SUV,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Rs.1.21 Cr*Get On Road Price,Yes,,,Yes,,,,7.25 Hours,71kWh,372-425km,
83,BMW 3 Series,13.02 kmpl,Petrol,2998,6,368.78bhp@5500-6500rpm,500Nm@1900-5000rpm,5,Automatic,,,Sedan,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.71.50 Lakh*Get On Road Price,Yes,,,,,,,,,,
84,BMW 7 Series,,Petrol,2998,6,375.48bhp@5200-6250rpm,520Nm@1850-5000rpm,5,Automatic,,,Sedan,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.1.70 Cr*Get On Road Price,Yes,,,,,,,,,,
85,BMW 2 Series,14.82 kmpl,Petrol,1998,4,189.08bhp@5000rpm,280Nm@1350-4600rpm,5,Automatic,,50.0,Sedan,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.43.50 - 45.50 Lakh*Get On Road Price,Yes,,,,,,,,,,
86,BMW M2,,Petrol,2993,6,453.26bhp@6250rpm,550Nm@2650-5870rpm,4,Automatic,390,,Convertible,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.98 Lakh*Get On Road Price,Yes,,,,,,,,,,10.13 kmpl
87,BMW 5 Series,17.42 kmpl,Diesel,2993,6,261.49bhp@4000rpm,620Nm@2000–2500rpm,5,Automatic,,,Sedan,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Rs.68.90 Lakh*Get On Road Price,Yes,,,,,,,,,,
88,BMW i4,,,,,335.25bhp,430Nm,5,,470/1290,,Sedan,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Rs.73.90 - 77.50 Lakh*Get On Road Price,Yes,,,No,,,,,83.9Kw,493-590Km,
89,BMW 3 Series Gran Limousine,19.61 kmpl,Diesel,1995,4,187.74bhp@4000rpm,400Nm@1750-2500rpm,5,Automatic,,,Coupe,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Rs.58.90 - 60.50 Lakh*Get On Road Price,Yes,,,Yes,,,,,,,
90,BMW M4 Competition,,Petrol,2993,6,502.88bhp@6250rpm,650Nm@2750-5500rpm,5,Automatic,,,Coupe,Yes,Yes,,,,,,,Yes,Rs.1.48 Cr*Get On Road Price,Yes,,,Yes,,,,,,,
91,BMW M8 Coupe Competition,8.7 kmpl,Petrol,4395,8,616.87bhp@6000rpm,750Nm@1800-5600rpm,5,Automatic,,,Coupe,,,Yes,,Yes,Yes,,,,Rs.2.44 Cr*Get On Road Price,,,,,,,,,,,
92,Audi Q5,13.47 kmpl,Petrol,1984,4,245.59bhp@5000-6000rpm,370Nm@1600-4300bhp,5,Automatic,,,SUV,,,,,Yes,Yes,,Yes,Yes,Rs.61.51 - 67.31 Lakh*Get On Road Price,,,,,,,,,,,
